Género,Edad,Entrante,Primer Plato,Segundo Plato,Bebida,Postre
Masculino,18,Ensaladilla,Macarrones,Pollo al curry,Agua,Fruta fresca
Femenino,37,Jamón,Paella,Pollo asado,Agua,Fruta fresca
Femenino,34,Gazpacho,Macarrones,Cachopo,Vino blanco,Queso y membrillo
Femenino,27,Gazpacho,Sopa de pollo,Merluza al horno,Refresco,Fruta fresca
Femenino,48,Ensalada César,Macarrones,Filete de ternera,Vino blanco,Queso y membrillo
Masculino,31,Espárragos,Arroz 3 delicias,Salmón,Refresco,Brownie
Masculino,64,Ninguno,Lasaña,Costillas BBQ,Vino tinto,Helado
Femenino,31,Jamón,Menestra de verduras,Bacalao,Vino tinto,Brownie
Masculino,26,Langostinos,Sopa de pollo,Filete de ternera,Vino blanco,Fruta fresca
Femenino,27,Mejillones,Paella,Merluza al horno,Vino tinto,Helado
Femenino,41,Langostinos,Paella,Salmón,Refresco,Queso y membrillo
Femenino,20,Jamón,Arroz 3 delicias,Pollo asado,Cerveza,Fruta fresca
Femenino,35,Ninguno,Sopa de pollo,Merluza al horno,Agua,Queso y membrillo
Femenino,24,Gazpacho,Garbanzos con espinacas,Pollo asado,Cerveza,Queso y membrillo
Masculino,30,Croquetas,Arroz 3 delicias,Salmón,Refresco,Brownie
Femenino,69,Ensalada César,Sopa de pollo,Chuletón,Cerveza,Brownie
Femenino,36,Jamón,Arroz 3 delicias,Pollo al curry,Vino tinto,Fruta fresca
Femenino,30,Ensalada César,Risotto,Merluza al horno,Agua,Queso y membrillo
Femenino,47,Ensaladilla,Risotto,Filete de ternera,Vino blanco,Queso y membrillo
Masculino,79,Langostinos,Arroz 3 delicias,Albóndigas,Vino tinto,Queso y membrillo
Masculino,75,Gazpacho,Paella,Cachopo,Vino tinto,Brownie
Femenino,83,Gazpacho,Crema de verduras,Costillas BBQ,Agua,Helado
Masculino,90,Jamón,Macarrones,Chuletón,Vino tinto,Brownie
Femenino,78,Espárragos,Macarrones,Pollo asado,Cerveza,Queso y membrillo
Masculino,43,Croquetas,Crema de verduras,Chuletón,Refresco,Helado
Femenino,74,Langostinos,Arroz 3 delicias,Hamburguesa,Refresco,Queso y membrillo
Masculino,86,Langostinos,Risotto,Filete de ternera,Agua,Flan
Femenino,85,Ensalada César,Risotto,Merluza al horno,Cerveza,Fruta fresca
Femenino,52,Espárragos,Risotto,Bacalao,Cerveza,Fruta fresca
Femenino,50,Ensaladilla,Sopa de pollo,Filete de ternera,Vino blanco,Fruta fresca
Masculino,85,Ensaladilla,Menestra de verduras,Pollo asado,Cerveza,Queso y membrillo
Masculino,84,Jamón,Menestra de verduras,Salmón,Vino blanco,Brownie
Femenino,28,Ensalada César,Crema de verduras,Bacalao,Vino blanco,Helado
Femenino,52,Ninguno,Garbanzos con espinacas,Salmón,Agua,Fruta fresca
Femenino,83,Gazpacho,Sopa de pollo,Costillas BBQ,Cerveza,Flan
Femenino,84,Ninguno,Garbanzos con espinacas,Merluza al horno,Vino blanco,Brownie
Femenino,26,Empanada,Lasaña,Chuletón,Agua,Queso y membrillo
Masculino,21,Empanada,Paella,Pollo asado,Vino tinto,Tarta de queso
Femenino,59,Empanada,Crema de verduras,Merluza al horno,Cerveza,Flan
Masculino,72,Croquetas,Garbanzos con espinacas,Bacalao,Cerveza,Flan
Masculino,30,Ninguno,Menestra de verduras,Costillas BBQ,Vino blanco,Queso y membrillo
Femenino,42,Mejillones,Garbanzos con espinacas,Merluza al horno,Agua,Helado
Femenino,32,Jamón,Macarrones,Chuletón,Refresco,Helado
Femenino,48,Ninguno,Paella,Bacalao,Cerveza,Tarta de queso
Femenino,57,Ensalada César,Macarrones,Pollo al curry,Agua,Fruta fresca
Masculino,71,Empanada,Menestra de verduras,Pollo asado,Vino tinto,Brownie
Femenino,27,Gazpacho,Sopa de pollo,Pollo al curry,Vino tinto,Brownie
Masculino,85,Croquetas,Menestra de verduras,Pollo asado,Vino tinto,Helado
Femenino,75,Ensaladilla,Lentejas,Cachopo,Vino tinto,Fruta fresca
Femenino,89,Gazpacho,Risotto,Costillas BBQ,Cerveza,Fruta fresca
Masculino,84,Ensaladilla,Crema de verduras,Bacalao,Vino tinto,Fruta fresca
Femenino,88,Espárragos,Garbanzos con espinacas,Bacalao,Cerveza,Tarta de queso
Femenino,53,Ninguno,Macarrones,Pollo al curry,Vino tinto,Queso y membrillo
Femenino,21,Mejillones,Lentejas,Costillas BBQ,Refresco,Tarta de queso
Femenino,22,Gazpacho,Garbanzos con espinacas,Pollo al curry,Cerveza,Helado
Masculino,76,Mejillones,Risotto,Pollo al curry,Vino blanco,Helado
Femenino,68,Ensalada César,Risotto,Cachopo,Vino blanco,Helado
Masculino,74,Ensaladilla,Crema de verduras,Filete de ternera,Agua,Flan
Masculino,76,Langostinos,Lasaña,Filete de ternera,Cerveza,Flan
Masculino,44,Langostinos,Crema de verduras,Filete de ternera,Vino tinto,Queso y membrillo
Masculino,63,Ninguno,Menestra de verduras,Pollo asado,Vino tinto,Tarta de queso
Masculino,59,Espárragos,Risotto,Filete de ternera,Cerveza,Tarta de queso
Femenino,65,Ensaladilla,Arroz 3 delicias,Albóndigas,Vino tinto,Flan
Masculino,65,Gazpacho,Crema de verduras,Merluza al horno,Vino tinto,Brownie
Femenino,84,Mejillones,Paella,Hamburguesa,Agua,Queso y membrillo
Masculino,39,Ensalada César,Menestra de verduras,Pollo asado,Vino blanco,Fruta fresca
Femenino,45,Croquetas,Sopa de pollo,Bacalao,Vino tinto,Queso y membrillo
Masculino,29,Empanada,Crema de verduras,Merluza al horno,Vino tinto,Queso y membrillo
Femenino,89,Langostinos,Lentejas,Hamburguesa,Agua,Queso y membrillo
Femenino,81,Ninguno,Lentejas,Cachopo,Agua,Flan
Femenino,81,Mejillones,Risotto,Merluza al horno,Agua,Brownie
Femenino,78,Ninguno,Lasaña,Merluza al horno,Vino tinto,Brownie
Masculino,24,Langostinos,Paella,Salmón,Vino tinto,Brownie
Femenino,67,Ensaladilla,Lentejas,Bacalao,Agua,Flan
Femenino,41,Langostinos,Risotto,Salmón,Vino tinto,Brownie
Masculino,42,Jamón,Macarrones,Pollo asado,Vino blanco,Flan
Masculino,84,Empanada,Crema de verduras,Chuletón,Cerveza,Flan
Femenino,39,Espárragos,Crema de verduras,Pollo al curry,Vino blanco,Queso y membrillo
Femenino,58,Empanada,Menestra de verduras,Hamburguesa,Cerveza,Tarta de queso
Femenino,33,Ensalada César,Sopa de pollo,Bacalao,Cerveza,Queso y membrillo
Masculino,31,Espárragos,Garbanzos con espinacas,Filete de ternera,Vino tinto,Brownie
Masculino,61,Ensaladilla,Risotto,Chuletón,Vino tinto,Flan
Masculino,28,Empanada,Crema de verduras,Merluza al horno,Vino blanco,Flan
Femenino,29,Jamón,Paella,Salmón,Cerveza,Brownie
Masculino,60,Jamón,Lasaña,Bacalao,Cerveza,Flan
Masculino,85,Mejillones,Sopa de pollo,Filete de ternera,Vino blanco,Tarta de queso
Masculino,71,Ninguno,Lasaña,Filete de ternera,Agua,Brownie
Masculino,55,Empanada,Sopa de pollo,Merluza al horno,Agua,Tarta de queso
Femenino,66,Ensaladilla,Risotto,Bacalao,Cerveza,Queso y membrillo
Femenino,81,Langostinos,Menestra de verduras,Hamburguesa,Vino blanco,Fruta fresca
Masculino,84,Mejillones,Sopa de pollo,Pollo al curry,Agua,Helado
Masculino,31,Espárragos,Arroz 3 delicias,Salmón,Vino blanco,Tarta de queso
Femenino,85,Espárragos,Lentejas,Hamburguesa,Cerveza,Flan
Masculino,26,Ensalada César,Arroz 3 delicias,Salmón,Agua,Helado
Femenino,48,Jamón,Risotto,Cachopo,Refresco,Fruta fresca
Masculino,71,Ninguno,Macarrones,Merluza al horno,Vino blanco,Fruta fresca
Masculino,69,Croquetas,Crema de verduras,Pollo asado,Agua,Helado
Masculino,70,Croquetas,Menestra de verduras,Bacalao,Agua,Fruta fresca
Masculino,31,Jamón,Risotto,Cachopo,Agua,Brownie
Femenino,60,Gazpacho,Menestra de verduras,Pollo al curry,Vino blanco,Brownie
Masculino,44,Espárragos,Lentejas,Pollo asado,Vino tinto,Tarta de queso
Masculino,23,Ninguno,Arroz 3 delicias,Chuletón,Refresco,Flan
Masculino,37,Mejillones,Garbanzos con espinacas,Chuletón,Refresco,Tarta de queso
Femenino,71,Empanada,Crema de verduras,Merluza al horno,Agua,Tarta de queso
Femenino,46,Ensalada César,Risotto,Filete de ternera,Agua,Flan
Femenino,80,Langostinos,Menestra de verduras,Hamburguesa,Refresco,Tarta de queso
Femenino,34,Langostinos,Lentejas,Bacalao,Agua,Flan
Femenino,87,Espárragos,Menestra de verduras,Merluza al horno,Agua,Fruta fresca
Masculino,78,Ensaladilla,Arroz 3 delicias,Pollo al curry,Cerveza,Helado
